multiclass_barbarian_level12_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_barbarian_level12_sd18_widening_deterministic_input.txt	class_level=class:barbarian:12	class_level=class:barbarian:12\nclass_level=class:fighter:1
multiclass_barbarian_level13_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_barbarian_level13_sd18_widening_deterministic_input.txt	class_level=class:barbarian:13	class_level=class:barbarian:13\nclass_level=class:fighter:1
multiclass_barbarian_level14_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_barbarian_level14_sd18_widening_deterministic_input.txt	class_level=class:barbarian:14	class_level=class:barbarian:14\nclass_level=class:fighter:1
multiclass_barbarian_level15_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_barbarian_level15_sd18_widening_deterministic_input.txt	class_level=class:barbarian:15	class_level=class:barbarian:15\nclass_level=class:fighter:1
multiclass_barbarian_level16_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_barbarian_level16_sd18_widening_deterministic_input.txt	class_level=class:barbarian:16	class_level=class:barbarian:16\nclass_level=class:fighter:1
multiclass_barbarian_level17_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_barbarian_level17_sd18_widening_deterministic_input.txt	class_level=class:barbarian:17	class_level=class:barbarian:17\nclass_level=class:fighter:1
multiclass_barbarian_level18_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_barbarian_level18_sd18_widening_deterministic_input.txt	class_level=class:barbarian:18	class_level=class:barbarian:18\nclass_level=class:fighter:1
multiclass_barbarian_level19_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_barbarian_level19_sd18_widening_deterministic_input.txt	class_level=class:barbarian:19	class_level=class:barbarian:19\nclass_level=class:fighter:1
multiclass_barbarian_level20_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_barbarian_level20_sd18_widening_deterministic_input.txt	class_level=class:barbarian:20	class_level=class:barbarian:20\nclass_level=class:fighter:1
multiclass_bard_level11_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_bard_level11_sd18_inspire_widening_deterministic_input.txt	class_level=class:bard:11	class_level=class:bard:11\nclass_level=class:fighter:1
multiclass_bard_level12_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_bard_level12_sd18_widening_deterministic_input.txt	class_level=class:bard:12	class_level=class:bard:12\nclass_level=class:fighter:1
multiclass_bard_level13_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_bard_level13_sd18_widening_deterministic_input.txt	class_level=class:bard:13	class_level=class:bard:13\nclass_level=class:fighter:1
multiclass_bard_level14_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_bard_level14_sd18_widening_deterministic_input.txt	class_level=class:bard:14	class_level=class:bard:14\nclass_level=class:fighter:1
multiclass_bard_level15_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_bard_level15_sd18_widening_deterministic_input.txt	class_level=class:bard:15	class_level=class:bard:15\nclass_level=class:fighter:1
multiclass_bard_level16_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_bard_level16_sd18_widening_deterministic_input.txt	class_level=class:bard:16	class_level=class:bard:16\nclass_level=class:fighter:1
multiclass_bard_level17_is_not_promoted_by_this_slice	tests/fixtures/rules_core/pf1_human_bard_level17_sd18_widening_deterministic_input.txt	class_level=class:bard:17	class_level=class:bard:17\nclass_level=class:fighter:1
